time_since_last_foreground,sync_freq_ratio,within_typical_active_hours,cpu_pct_relative,app_category,label
45,1.20,true,2.50,development_tool,active_needed
120,0.85,true,1.80,development_tool,active_needed
180,2.10,true,1.40,cloud_sync,active_needed
3600,0.15,true,0.30,system_utility,idle_likely
7200,0.05,false,0.10,browser,background_unused
15,1.00,true,1.50,browser,active_needed
250,0.90,true,2.10,development_tool,active_needed
14400,0.10,false,0.05,cloud_sync,background_unused
5400,1.35,true,0.40,development_tool,idle_likely
60,1.05,true,1.90,development_tool,active_needed
210,0.80,true,1.20,browser,active_needed
280,1.15,true,2.60,development_tool,active_needed
18000,0.05,false,0.02,cloud_sync,background_unused
9000,0.90,true,0.15,system_utility,idle_likely
30,1.10,true,1.75,communication,active_needed
3200,2.40,true,1.65,cloud_sync,active_needed
15000,0.12,false,0.08,cloud_sync,background_unused
4200,0.75,true,0.22,browser,idle_likely
25,1.30,true,2.80,development_tool,active_needed
110,1.00,true,1.40,development_tool,active_needed
24000,0.05,false,0.04,browser,background_unused
8400,1.45,true,0.35,cloud_sync,idle_likely
135,1.15,true,1.60,development_tool,active_needed
195,0.90,true,1.10,browser,active_needed
310,1.10,true,2.20,development_tool,active_needed
16000,0.08,false,0.06,cloud_sync,background_unused
6600,0.80,true,0.18,system_utility,idle_likely
50,1.05,true,1.45,communication,active_needed
75,1.25,true,2.45,development_tool,active_needed
19000,0.05,false,0.05,cloud_sync,background_unused
4800,0.85,true,0.25,browser,idle_likely
35,1.00,true,1.30,development_tool,active_needed
160,1.10,true,1.85,development_tool,active_needed
21000,0.08,false,0.11,browser,background_unused
7800,1.65,true,0.42,cloud_sync,idle_likely
105,1.10,true,1.55,development_tool,active_needed
220,0.95,true,1.05,browser,active_needed
290,1.05,true,2.15,development_tool,active_needed
14000,0.15,false,0.04,cloud_sync,background_unused
11000,0.75,true,0.14,system_utility,idle_likely
40,1.30,true,2.70,development_tool,active_needed
3600,2.15,true,1.85,cloud_sync,active_needed
17000,0.08,false,0.07,cloud_sync,background_unused
5200,0.80,true,0.21,browser,idle_likely
80,1.05,true,1.50,communication,active_needed
130,0.95,true,1.25,development_tool,active_needed
26000,0.03,false,0.02,browser,background_unused
9600,1.25,true,0.28,cloud_sync,idle_likely
115,1.12,true,1.70,development_tool,active_needed
240,0.88,true,0.95,browser,active_needed
270,1.05,true,2.30,development_tool,active_needed
13000,0.10,false,0.05,cloud_sync,background_unused
6000,0.80,true,0.18,system_utility,idle_likely
70,1.10,true,1.40,communication,active_needed
95,1.15,true,2.10,development_tool,active_needed
18000,0.06,false,0.06,cloud_sync,background_unused
4500,0.90,true,0.20,browser,idle_likely
55,1.00,true,1.25,development_tool,active_needed
150,1.15,true,1.95,development_tool,active_needed
23000,0.08,false,0.10,browser,background_unused
8100,1.50,true,0.36,cloud_sync,idle_likely
125,1.10,true,1.65,development_tool,active_needed
200,0.95,true,1.15,browser,active_needed
260,1.05,true,2.10,development_tool,active_needed
15000,0.12,false,0.03,cloud_sync,background_unused
10500,0.78,true,0.16,system_utility,idle_likely
30,1.15,true,1.80,communication,active_needed
3400,2.25,true,1.75,cloud_sync,active_needed
16500,0.09,false,0.08,cloud_sync,background_unused
5600,0.82,true,0.24,browser,idle_likely
85,1.08,true,1.60,development_tool,active_needed
140,0.95,true,1.20,development_tool,active_needed
25000,0.04,false,0.02,browser,background_unused
