time_since_last_foreground,sync_freq_ratio,within_typical_active_hours,cpu_pct_relative,app_category,label
120,1.45,true,1.82,streaming,active_needed
85,1.10,true,2.15,streaming,active_needed
210,0.95,true,1.35,browser,active_needed
45,1.20,true,1.60,streaming,active_needed
18000,0.15,false,0.12,cloud_sync,background_unused
7200,0.85,true,0.35,system_utility,idle_likely
15,1.05,true,1.10,communication,active_needed
145,1.50,true,2.40,streaming,active_needed
22000,0.22,false,0.28,browser,background_unused
5400,1.15,true,0.42,streaming,idle_likely
90,1.30,true,1.75,streaming,active_needed
180,0.90,true,1.25,browser,active_needed
280,1.10,true,1.40,streaming,active_needed
12000,0.18,false,0.05,cloud_sync,background_unused
9000,1.05,true,0.30,system_utility,idle_likely
60,1.25,true,1.90,streaming,active_needed
3200,1.35,true,1.55,streaming,active_needed
15000,0.25,false,0.15,cloud_sync,background_unused
4200,0.95,true,0.25,browser,idle_likely
25,1.15,true,2.10,streaming,active_needed
110,1.00,true,1.50,communication,active_needed
24000,0.10,false,0.08,browser,background_unused
8400,1.20,true,0.38,streaming,idle_likely
135,1.40,true,1.85,streaming,active_needed
195,1.05,true,1.30,browser,active_needed
310,1.15,true,1.65,streaming,active_needed
16000,0.20,false,0.18,cloud_sync,background_unused
6600,0.90,true,0.28,system_utility,idle_likely
50,1.30,true,2.25,streaming,active_needed
75,1.25,true,1.70,streaming,active_needed
19000,0.12,false,0.11,cloud_sync,background_unused
4800,1.00,true,0.32,browser,idle_likely
35,1.10,true,1.45,communication,active_needed
160,1.35,true,2.05,streaming,active_needed
21000,0.15,false,0.22,browser,background_unused
7800,1.15,true,0.45,streaming,idle_likely
105,1.20,true,1.60,streaming,active_needed
220,1.00,true,1.15,browser,active_needed
290,1.25,true,1.50,streaming,active_needed
14000,0.28,false,0.08,cloud_sync,background_unused
11000,0.85,true,0.22,system_utility,idle_likely
40,1.35,true,2.15,streaming,active_needed
3600,1.40,true,1.80,streaming,active_needed
17000,0.18,false,0.14,cloud_sync,background_unused
5200,0.95,true,0.30,browser,idle_likely
80,1.15,true,1.95,streaming,active_needed
130,1.05,true,1.40,communication,active_needed
26000,0.08,false,0.06,browser,background_unused
9600,1.10,true,0.35,streaming,idle_likely
115,1.30,true,1.70,streaming,active_needed
240,0.95,true,1.20,browser,active_needed
270,1.20,true,1.55,streaming,active_needed
13000,0.22,false,0.10,cloud_sync,background_unused
6000,0.90,true,0.25,system_utility,idle_likely
70,1.25,true,2.30,streaming,active_needed
95,1.20,true,1.80,streaming,active_needed
18000,0.14,false,0.12,cloud_sync,background_unused
4500,1.05,true,0.28,browser,idle_likely
55,1.10,true,1.50,communication,active_needed
150,1.40,true,2.10,streaming,active_needed
23000,0.18,false,0.19,browser,background_unused
8100,1.12,true,0.40,streaming,idle_likely
125,1.25,true,1.75,streaming,active_needed
200,1.05,true,1.25,browser,active_needed
260,1.15,true,1.45,streaming,active_needed
15000,0.26,false,0.07,cloud_sync,background_unused
10500,0.88,true,0.24,system_utility,idle_likely
30,1.30,true,2.20,streaming,active_needed
3400,1.45,true,1.65,streaming,active_needed
16500,0.19,false,0.16,cloud_sync,background_unused
5600,0.92,true,0.34,browser,idle_likely
85,1.18,true,2.00,streaming,active_needed
140,1.00,true,1.35,communication,active_needed
25000,0.09,false,0.05,browser,background_unused
9000,1.15,true,0.38,streaming,idle_likely
100,1.35,true,1.80,streaming,active_needed
230,0.90,true,1.10,browser,active_needed
285,1.22,true,1.60,streaming,active_needed
12500,0.24,false,0.09,cloud_sync,background_unused
6300,0.92,true,0.27,system_utility,idle_likely
65,1.28,true,2.40,streaming,active_needed
100,1.15,true,1.85,streaming,active_needed
19500,0.13,false,0.11,cloud_sync,background_unused
4100,1.02,true,0.26,browser,idle_likely
45,1.12,true,1.55,communication,active_needed
170,1.38,true,2.05,streaming,active_needed
22000,0.16,false,0.21,browser,background_unused
8700,1.10,true,0.42,streaming,idle_likely
110,1.22,true,1.70,streaming,active_needed
210,1.02,true,1.30,browser,active_needed
255,1.18,true,1.50,streaming,active_needed
15500,0.27,false,0.08,cloud_sync,background_unused
11500,0.86,true,0.21,system_utility,idle_likely
50,1.32,true,2.10,streaming,active_needed
3800,1.38,true,1.70,streaming,active_needed
17500,0.17,false,0.15,cloud_sync,background_unused
5000,0.98,true,0.31,browser,idle_likely
75,1.16,true,1.90,streaming,active_needed
120,1.08,true,1.45,communication,active_needed
27000,0.07,false,0.07,browser,background_unused
9300,1.12,true,0.36,streaming,idle_likely
120,1.28,true,1.75,streaming,active_needed
250,0.98,true,1.15,browser,active_needed
275,1.21,true,1.52,streaming,active_needed
13500,0.21,false,0.11,cloud_sync,background_unused
5800,0.94,true,0.23,system_utility,idle_likely
60,1.26,true,2.25,streaming,active_needed
105,1.18,true,1.78,streaming,active_needed
18500,0.15,false,0.13,cloud_sync,background_unused
4700,1.04,true,0.29,browser,idle_likely
40,1.14,true,1.48,communication,active_needed
160,1.42,true,2.12,streaming,active_needed
24000,0.17,false,0.18,browser,background_unused
8400,1.14,true,0.39,streaming,idle_likely
130,1.24,true,1.72,streaming,active_needed
205,1.04,true,1.28,browser,active_needed
265,1.14,true,1.42,streaming,active_needed
14500,0.25,false,0.09,cloud_sync,background_unused
10000,0.89,true,0.25,system_utility,idle_likely
35,1.28,true,2.18,streaming,active_needed
3500,1.42,true,1.62,streaming,active_needed
16000,0.21,false,0.17,cloud_sync,background_unused
5400,0.94,true,0.32,browser,idle_likely
90,1.16,true,1.98,streaming,active_needed
135,1.02,true,1.38,communication,active_needed
25500,0.08,false,0.04,browser,background_unused
8800,1.16,true,0.37,streaming,idle_likely
105,1.32,true,1.82,streaming,active_needed
225,0.92,true,1.12,browser,active_needed
290,1.24,true,1.58,streaming,active_needed
12000,0.25,false,0.10,cloud_sync,background_unused
6500,0.94,true,0.26,system_utility,idle_likely
70,1.30,true,2.35,streaming,active_needed
95,1.14,true,1.82,streaming,active_needed
19000,0.14,false,0.10,cloud_sync,background_unused
4300,1.00,true,0.27,browser,idle_likely
50,1.10,true,1.52,communication,active_needed
165,1.36,true,2.02,streaming,active_needed
21500,0.17,false,0.20,browser,background_unused
8500,1.08,true,0.40,streaming,idle_likely
115,1.20,true,1.68,streaming,active_needed
215,1.00,true,1.28,browser,active_needed
250,1.16,true,1.48,streaming,active_needed
15000,0.28,false,0.09,cloud_sync,background_unused
11000,0.88,true,0.22,system_utility,idle_likely
45,1.30,true,2.15,streaming,active_needed
3700,1.40,true,1.68,streaming,active_needed
17000,0.18,false,0.14,cloud_sync,background_unused
4900,0.96,true,0.30,browser,idle_likely
80,1.14,true,1.92,streaming,active_needed
125,1.06,true,1.42,communication,active_needed
26500,0.08,false,0.06,browser,background_unused
9200,1.10,true,0.35,streaming,idle_likely
115,1.26,true,1.72,streaming,active_needed
245,0.96,true,1.18,browser,active_needed
270,1.18,true,1.50,streaming,active_needed
13000,0.22,false,0.12,cloud_sync,background_unused
5900,0.92,true,0.24,system_utility,idle_likely
65,1.24,true,2.22,streaming,active_needed
100,1.16,true,1.76,streaming,active_needed
18000,0.16,false,0.12,cloud_sync,background_unused
4600,1.02,true,0.28,browser,idle_likely
42,1.12,true,1.46,communication,active_needed
155,1.40,true,2.10,streaming,active_needed
23500,0.16,false,0.17,browser,background_unused
8200,1.12,true,0.38,streaming,idle_likely
125,1.22,true,1.70,streaming,active_needed
200,1.02,true,1.26,browser,active_needed
260,1.12,true,1.40,streaming,active_needed
14000,0.24,false,0.08,cloud_sync,background_unused
10500,0.87,true,0.23,system_utility,idle_likely
32,1.26,true,2.16,streaming,active_needed
3300,1.40,true,1.60,streaming,active_needed
16200,0.20,false,0.16,cloud_sync,background_unused
5500,0.92,true,0.31,browser,idle_likely
88,1.14,true,1.96,streaming,active_needed
132,1.00,true,1.36,communication,active_needed
25000,0.07,false,0.05,browser,background_unused
8600,1.14,true,0.36,streaming,idle_likely
102,1.30,true,1.80,streaming,active_needed
220,0.90,true,1.10,browser,active_needed
285,1.22,true,1.56,streaming,active_needed
12200,0.24,false,0.10,cloud_sync,background_unused
6400,0.92,true,0.25,system_utility,idle_likely
68,1.28,true,2.32,streaming,active_needed
92,1.12,true,1.80,streaming,active_needed
18800,0.13,false,0.09,cloud_sync,background_unused
4200,0.98,true,0.26,browser,idle_likely
48,1.08,true,1.50,communication,active_needed
162,1.34,true,2.00,streaming,active_needed
21000,0.16,false,0.19,browser,background_unused
8400,1.06,true,0.38,streaming,idle_likely
112,1.18,true,1.66,streaming,active_needed
212,0.98,true,1.26,browser,active_needed
248,1.14,true,1.46,streaming,active_needed
14800,0.27,false,0.08,cloud_sync,background_unused
10800,0.86,true,0.20,system_utility,idle_likely
42,1.28,true,2.12,streaming,active_needed
3600,1.38,true,1.66,streaming,active_needed
16800,0.17,false,0.13,cloud_sync,background_unused
4800,0.94,true,0.29,browser,idle_likely
78,1.12,true,1.90,streaming,active_needed
122,1.04,true,1.40,communication,active_needed
26000,0.07,false,0.05,browser,background_unused
9000,1.08,true,0.34,streaming,idle_likely
112,1.24,true,1.70,streaming,active_needed
242,0.94,true,1.16,browser,active_needed
268,1.16,true,1.48,streaming,active_needed
12800,0.21,false,0.11,cloud_sync,background_unused
5800,0.90,true,0.23,system_utility,idle_likely
62,1.22,true,2.20,streaming,active_needed
98,1.14,true,1.74,streaming,active_needed
17800,0.15,false,0.11,cloud_sync,background_unused
