time_since_last_foreground,sync_freq_ratio,within_typical_active_hours,cpu_pct_relative,app_category,label
180,0.95,true,1.15,browser,active_needed
25000,0.15,false,0.08,communication,background_unused
42000,0.05,false,0.02,browser,background_unused
12000,0.22,false,0.12,system_utility,background_unused
15000,0.35,true,0.18,browser,idle_likely
90,1.10,true,1.35,communication,active_needed
18000,0.12,false,0.05,cloud_sync,background_unused
36000,0.10,false,0.04,browser,background_unused
5400,0.40,true,0.25,system_utility,idle_likely
22000,0.08,false,0.06,communication,background_unused
60,1.05,true,1.10,browser,active_needed
14000,0.18,false,0.10,browser,background_unused
29000,0.05,false,0.03,communication,background_unused
7200,0.30,true,0.22,browser,idle_likely
16000,0.15,false,0.07,system_utility,background_unused
120,0.90,true,1.25,communication,active_needed
33000,0.08,false,0.05,browser,background_unused
45000,0.04,false,0.02,communication,background_unused
8400,0.45,true,0.32,browser,idle_likely
19000,0.20,false,0.09,cloud_sync,background_unused
45,1.20,true,1.40,browser,active_needed
11000,0.25,false,0.15,browser,background_unused
26000,0.08,false,0.04,communication,background_unused
6400,0.35,true,0.28,system_utility,idle_likely
15000,0.12,false,0.06,browser,background_unused
210,1.00,true,1.20,communication,active_needed
38000,0.06,false,0.03,browser,background_unused
48000,0.02,false,0.01,communication,background_unused
9600,0.42,true,0.30,browser,idle_likely
17000,0.18,false,0.11,cloud_sync,background_unused
15,1.15,true,1.50,browser,active_needed
13000,0.22,false,0.14,browser,background_unused
28000,0.05,false,0.05,communication,background_unused
5800,0.38,true,0.24,system_utility,idle_likely
16500,0.14,false,0.08,browser,background_unused
250,0.95,true,1.05,communication,active_needed
31000,0.10,false,0.04,browser,background_unused
42000,0.05,false,0.03,communication,background_unused
8100,0.40,true,0.35,browser,idle_likely
20000,0.15,false,0.08,cloud_sync,background_unused
80,1.05,true,1.30,browser,active_needed
12500,0.24,false,0.12,browser,background_unused
27000,0.06,false,0.04,communication,background_unused
6200,0.32,true,0.26,system_utility,idle_likely
15500,0.16,false,0.07,browser,background_unused
180,1.10,true,1.40,communication,active_needed
34000,0.09,false,0.05,browser,background_unused
46000,0.03,false,0.02,communication,background_unused
9000,0.45,true,0.29,browser,idle_likely
18500,0.17,false,0.09,cloud_sync,background_unused
35,1.25,true,1.60,browser,active_needed
11500,0.26,false,0.15,browser,background_unused
25500,0.07,false,0.03,communication,background_unused
6600,0.36,true,0.27,system_utility,idle_likely
14500,0.13,false,0.09,browser,background_unused
110,0.92,true,1.18,communication,active_needed
32500,0.07,false,0.04,browser,background_unused
43500,0.04,false,0.02,communication,background_unused
